ds,Predicted,Generated_At,Model
2025-01-23 11:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 12:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 13:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 14:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 15:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 16:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 17:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 18:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 19:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 20:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 21:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 22:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-23 23:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 00:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 01:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 02:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 03:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 04:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 05:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 06:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 07:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 08:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 09:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 10:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 11:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 12:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 13:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 14:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 15:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 16:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 17:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 18:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 19:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 20:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 21:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 22:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-24 23:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 00:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 01:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 02:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 03:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 04:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 05:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 06:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 07:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 08:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 09:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 10:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 11:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
2025-01-25 12:00:00,31671.58814506133,2025-01-23T11:41:55.576594,GradientBoostingRegressor
